Vserver Type,Partition Name,Vserver State,Vserver State Timestamp,Vserver IP Address,Vserver Name,Hostname,Display Name,Vserver Health,App Security,Vserver Effective State,Vserver Port
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.249,vm8478,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL_BRIDGE,,Out of Service,"4 days, 21h : 07m : 09s",10.82.134.20,vm8479,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,443
TCP,,Down,"146 days, 17h : 35m : 24s",10.82.134.30,vm8480,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,25
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.8,vm8481,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.254,vm8482,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
UDP,,Down,"146 days, 17h : 35m : 24s",0.0.0.0,vm8483,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,0
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.4,vm8484,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,4889
SSL,,Down,"146 days, 17h : 35m : 24s",192.168.1.30,vm8485,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
TCP,,Up,"48 days, 18h : 27m : 42s",10.82.134.17,vm8486,nhqnscab5a,10.86.90.101-10.86.90.102,67,,UP,4447
HTTP,,Down,"110 days, 08h : 21m : 02s",10.82.134.248,vm8487,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Up,"32 days, 15h : 18m : 40s",10.82.134.7,vm8488,nhqnscab5a,10.86.90.101-10.86.90.102,100,,UP,443
HTTP,,Out of Service,"4 days, 21h : 06m : 35s",10.82.134.8,vm8489,nhqnscab5a,10.86.90.101-10.86.90.102,50,,DOWN,80
